Titolo,id_ristorante,Data,Target,Recensioni,Punteggio,Foto1,Foto2,user_id
Servizio incredibile,g1055403-d1020769,,couples,"Il personale sia in hotel e il ristorante erano assolutamente impeccabili; ci hanno riconosciuto in ogni occasione, ma senza essere sopra la parte superiore! Siamo arrivati presto, siamo stati trattati a un tavolo vicino alla finestra e l'ho guardata a farsi buio mentre la cantina era illuminato. Naturalmente abbiamo scelto una bottiglia di Smith Haute Lafitte da bere, che era incredibile! Il menu era buono e il cibo non era precipitato. Il cibo era buono, ma purtroppo i nostri antipasti non erano abbastanza caldo che è il motivo per cui questa recensione è solo a 4 invece di 5 . Ci torneremmo senz'altro a tornare per una serata speciale mentre si visita Bordeaux.","Punteggio 4,0 su 5",,,2246
Simplicité du bien manger 😍☺️,g1015440-d10592830,12 maggio 2024,couples,"Simple avec des produits frais et locaux, sans chichi.
Penser à réserver, car très demandé sinon passez votre chemin 😀
Pris très raisonnables.","Punteggio 5,0 su 5",,,1301
Simplicité et excellence maison,g1015440-d10592830,14 settembre 2023,couples,"Voilà, juste après le merveilleux marché des Vans, halte sur la place. Très peu de tables, carte réduite, mais tout est fait sur place, produits locaux , frais, un vrai plaisir, patronne adorable et mari en cuisine...Merci pour cet instant d'excellence!","Punteggio 5,0 su 5",,,1468
Soirée très agréable belle découverte  à renouveler,g1055322-d6725501,1 settembre 2023,friends,"Parfait du début à la fin . faîtes un détour vous serez agréablement surpris.
De passage, nous avons découvert cette belle adresse","Punteggio 5,0 su 5",,,1695
Splendida coreografia...,g1055403-d1059472,,friends,"a cominciare dalla location (Les Sources de Caudalie), immersa nel verde dei boschi e dei vigneti del Château Smith Haut Lafitte, in perfetta armonia con l'ambiente circostante Ambiente raffinato ed elegante, servizio impeccabile come si conviene ad un ristorante di questo rango.
Anche nei piatti lo Chef Nicolas Masse punta ad un importante effetto scenografico senza comunque trascurare la sostanza, garantita da un'eccellente scelta delle materie prime e da una tecnica magistrale. Questo si traduce in piatti molto belli a vedersi e caratterizzati da sapori assai gradevoli al palato, come la Promenade au potager, l' Oeuf de ferme en colère ed il delizioso dessert ispirato alla pesca.
Dopo cena non perdetevi una romantica passeggiata intorno al laghetto del parco, dove si riflettono le luci del ristorante in un'atmosfera carica di bucolica magia...","Punteggio 5,0 su 5",,,1379
Spumeggiante!,g1055931-d11871586,,couples,"Ho mangiato come un Dio greco!
Normalmente in Francia mi viene il mal di pancia.
Qui da Niji e dal suo cuoco Alessio mi son sentito super sazio.

Top della gamma!
Anche un uomo del Sud Italia, come me, ha apprezzato.
110 e lode!...che dico, 110 e tiramisú!0","Punteggio 4,0 su 5",,,670
Staff testardo,g1051974-d6695189,,none,"Siamo arrivati all'hotel un po 'tardi dopo aver viaggiato fuori Parigi e bloccato nel traffico. Sembrava che il personale sarebbe stato più felice di non servirci (alle 8 di sera). Ci siamo sentiti frettoloso, ma volevo iniziare con un aperitivo prima di ordinare i nostri pasti. Una volta che il cibo è venuto, ha un sapore molto buono, ma l'esperienza è guastata dallo staff.","Punteggio 3,0 su 5",,,2519
Streling voor het oog en smaakpapillen,g1015440-d4469284,15 settembre 2023,couples,Niet voor elke week vanwege het budget maar zeker de moeite waard om te ontdekken. Bedankt Cyriel en Piet. Tot volgend jaar. Stef en Nath,"Punteggio 5,0 su 5",,,612
super,g1006521-d11741405,6 agosto 2019,solo,"cuisine comme a la maison avec une équipe toujours souriante..serviable au top
je recommande fortement !!!","Punteggio 5,0 su 5",,,277
super,g1015440-d10476265,19 febbraio 2023,friends,"Endroit super sympa, service et cuisine au top je recommande ce lieu sans hésitation le personnel est très agréable bravo l’équipe !","Punteggio 5,0 su 5",,,225
super,g1048039-d6434851,,family,"Il cibo è eccellente, bel servizio, sufficientemente varia. Caffè e ottima birra. Sedie piuttosto buoni. L'accettazione di cani. Abbiamo classificarli altamente.","Punteggio 4,0 su 5",,,1840
Super endroit très bon accueil serveurs cuisiniers cuisine...nous Y sommes allés plusieurs fois les plats  changent c'es,g1015440-d2085779,28 ottobre 2023,family,"Super endroit très bon accueil serveurs cuisiniers cuisine...nous
Y sommes allés plusieurs fois les plats  changent c'est top","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2a/b2/9c/0f/caption.jpg,https://media-cdn.tripadvisor.com/media/photo-l/2a/b2/9c/0e/caption.jpg,1272
Super tevreden,g1015440-d4469284,13 ottobre 2023,family,"We hadden het geluk dat het restaurant zijn tiende verjaardag vierde. Wat een fantastisch team! Correct, vriendelijk en super georganiseerd. De gerechten zijn stuk voor stuk pareltjes om te bekijken strelingen voor de smaakpapillen.","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2a/93/df/83/caption.jpg,,1834
Super!,g1006521-d11741405,12 dicembre 2018,family,"Produits excellents! Sandwichs, panini, salades...tout y ai parfait. Personnel efficace et très sympathique! Rapport qualité/prix au TOP!","Punteggio 5,0 su 5",,,1953
Super!,g1055931-d11871586,,couples,"Davvero un ambiente colorato e accogliente. Se volete tuffarvi in un'atmosfera anni '80 è il posto giusto.

Passiamo al ""piatto forte"", la cucina è favolosa. Piatti sostanziosi e buonissimi! Un tipo di cucina davvero appagante, che ti fa sentire a casa.

Personale gentilissimo e simpatico. Insomma, un' esperienza da replicare assolutamente! Top!","Punteggio 5,0 su 5",,,1919
Superbe expérience,g1025628-d13347964,25 agosto 2022,couples,"Nous avons découvert par hasard cet enseigne qui gagne à être connue 
13.50 pour une salade que vous composez vous même avec énormément de choix plus la boisson et la glace ....c est juste imbattable ..
Dommage qu il n y en ait pas dans notre région.....
Allez y les yeux fermés vous vous régalerez sans vous ruiner","Punteggio 5,0 su 5",,,191
Superbe restaurant,g1034705-d12535754,13 febbraio 2024,couples,"J'ai réservé en Juin 2023 pour Février 2024 . 
Cela met du temps , mais cela vaux le coup . 
C'est super bon , le personnel agréable gentil souriant . 
Très très bon . Juste B mol c'est l'eau à 3,50 dommages on devrais pas faire payer l'eau. 
Sinon le reste rien a dire c'est super bon . 
Juste qe qu'il faut . 

Je recommande sincèrement. 
Et j'y retounerais sans aucun souci .","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2b/6b/c2/e4/caption.jpg,,1217
Superbe!,g1015440-d2085779,17 novembre 2023,friends,"Dîner sous les oliviers par une belle soirée d’été, quel beau moment! Plats savoureux, cadre magnifique, personnel aimable. Nous avons prévu d’y retourner lors de notre prochain séjour ardéchois !","Punteggio 5,0 su 5",,,1451
"Sympathique ambiance, service des plus lents, excellente pizza et délicieux antipastis - décevantes pâtes",g1025620-d3598446,17 gennaio 2020,none,"Atmosphère et design sympathique, style brasserie, propre et accueil chaleureux. Cependant, même si le restaurant n'était pas bondé, et alors que le personnel ne semblait pas débordé il a fallu attendre 40 minutes pour seulement recevoir les ""anti-pasti"". Et ensuite attendre encore.... au moins 30 minutes et seulement après deux intervention très polies auprès de deux différents serveurs  pour demander d'activer la suite. Pour recevoir le plat principal, il a fallu être beaucoup plus ferme pour être enfin pris au sérieux par un ""chef de salle"" dilettant s'offusquant qu'on puisse s'adresser à lui en évoquant le terme ""local"" de illico. Je ne sais si ce ""chef de salle"" avait déjà été informé de notre attente hors du commun, mais il ne semblait pas s'en préoccuper outre mesure. Au lieu de s'en excuser il se justifie. Dommage. Je suis désolé qu'il n'ait eu de ma part uniquement la demande en version ""ferme"", mais après deux premières indications tout à fait cordiales sur le fait que nous étions pressés, j'ai eu le sentiment que nous n'étions pas pris au sérieux, d'autant plus que tout autour de nous, les tables arrivées après nous étaient servies, puis défilaient les clients. Ce ""chef de salle"" a prétexté que nous avions demandé une entrée... Doit on comprendre que sur un repas on n'apporte l'entrée uniquement après 40 minutes? et ensuite abandonne-t-on à une livraison ultérieure le plat principal... Bref, je suis navré de l'attitude de cette personne et de sa réaction. Une erreur peut arriver, on s'excuse et tout va bien, et je lui accorde forcément toutes les excuses qu'il souhaite à partir du moment où son attitude respecte le client. Il est responsable d'un stress, il doit l'apaiser.
Par ailleurs j'ai trouvé excellent la pizza et les anti-pastis, par contre les pâtes et l'escalope n'étaient pas une réussite.","Punteggio 3,0 su 5",,,2046
Tariffa francese sublime. Da non perdere,g1054093-d2027287,,couples,Questo delizioso ristorante di proprietà di Marie Charlotte e Chef Flavio serve piatti classici francesi con un tocco bio moderno. Le presentazioni sono deliziose. Marzo cibo elously gustoso. E la lista dei vini è bilanciata con un buon rapporto qualità-prezzo. The Amuse bouche è piuttosto divertente. Foie Gras Mi cuit delizioso! Riz de veaux con salsa di pastinaca. Magico. La Langoustine con salsa all'Armanacco schioccava le labbra. Il petto di gallina faraona era umido e la sua gamba imbottita era posizionata in modo eccellente su un letto di cavolo. Un buon repast. Il migliore nella valle del Rodano. Sicuramente alla spina per una stella Michelin.,"Punteggio 5,0 su 5",,,1448
Tête à tête avec mon petit fils pour fêter le deconfinement le 2 juin.,g1024187-d10539949,4 giugno 2020,family,Accueil chaleureux et installation en terrasse.. Formule à 15e verre de vin ou cidre compris... Steack frites maison pour le jeune qui a goûté mes plats : brouillade au saumon  taraki de thon au sésame et yusu...sublime avec son joli riz noir.. Tartelette fines aux nectarines et Amandine... Un repas régal pour les yeux et le palais... Belle ambiance. Adresse à recommander 😊😊😊,"Punteggio 5,0 su 5",,,2691
The worst meal ever,g1024187-d10539949,17 agosto 2017,friends,"We had dinner on Aug 3rd. The 4 of us were the only people in the restaurant the whole night. Food was tasteless and the worst meal I've ever had in a restaurant in any place I've ever traveled to. Not sure what happened to the chef--tasted like frozen fish. Even the burger on the kids menu was tasteless. I don't mind paying high prices for an excellent meal, but this wouldn't have been worth it even at half the price we paid for it.","Punteggio 1,0 su 5",,,1392
Tilleules formidabili,g1052751-d3439800,,none,"Lista dei vini con una varietà di opzioni, cocktail eccellenti, servizio attento e cortese insieme con cibo delizioso pranzo ci ha portato a qui due volte.
Il de maison di specialite di pesce catturato da un fisher professionale era buono come qualsiasi altro pesce che abbiamo avuto in qualsiasi parte del mondo. Fresche insalate fresche e sostanziosi piatti di carne vengono offerti anche (e gustoso) . Dessert può essere un po' colpito o perdere. Abbiamo volentieri lasciato petite Quel cadeau)"". Fascicolo disfrutar alla reception ogni sera.","Punteggio 4,0 su 5",,,210
Top fraîcheur,g1006521-d11741405,7 agosto 2019,none,Top fraîcheur des produtis. Du fait maison. Un Super accueil. Bon rapport qualité/prix. Que demander de plus ?,"Punteggio 4,0 su 5",,,1128
TOP TOP- TOP TOP - 3 Etoiles guide des habtitués,g1006521-d11741405,22 maggio 2019,friends,"Une équipe formidable, accueillante qui mettra tout en oeuvre pour que vous passiez un bon moment. Différentes formules sont proposées, les plats du jours sont excellents et variés. Merci Roy pour tous les bons déjeuners que tu nous proposes et merci à ta dream team.","Punteggio 5,0 su 5",,,489
TOP!!,g1055403-d1020769,,couples,È il ristorante del resort Les Sources...ed è il posto dove ho mangiato meglio in tutti e 4 i giorni che sono stata a Bordeaux. Ho preso del Salmone come antipasto e un merluzzo...pesci semplici ma cucinati con maestria e presentati con estrema eleganza. COMPLIMENTI!!,"Punteggio 5,0 su 5",,,708
Toujours aussi bon !!,g1026445-d4282170,4 luglio 2022,couples,"Deux ans après mon dernier passage ,je suis revenu dans cet établissement dédié aux fruits et légumes .

Nous avons été conquis ,que ce soit par l'accueil de Dina mais tout autant par la multiplicité des saveurs de ses assiettes .

Les produits sont simples ,la cuisine tout autant mais attendez vous à voyager ...

Ne faites pas non plus l'impasse sur un jus légume fruit en apéritif dont elle a le secret et qui vous ouvrira l'appétit .

En somme ,je reconseille d'y venir si vous passez par Saint Jean d'Angely ,vous ne serez pas déçu !!","Punteggio 5,0 su 5",,,224
Tra Nobili Vigne,g1055403-d1059472,,none,"Quadro idilliaco tra vigneti prestigiosi. Sala elegante con tavoli ben distanziati. Ottimo pane di campagna. Cucina e cantina stellate a prezzi stellari. Servizio molto professionale.
 
****
Menu “Expression d’un terroir”:

1) Le cœur de Potager. 2) Tomate Ancienne. 3) Merlu de ligne de Saint Jean de Luz. 4) Pigeon de Madame Le Guen. 5) La Framboise de Tursan. 6) Tarte au citron pas comme les autres. 7) Mignardises.","Punteggio 4,0 su 5",,,815
Tranquillo e piacevole con cibo eccellente,g1048039-d6434851,,solo,"Un ritardo di questa recensione, viene richiesto dal mio ritorno a Wissant in maggio.
Ho provato le delizie di Wissant nel maggio 2014 dopo oltre 5000 miglia di guida Europa rotondo.
Ho trovato il posto in sé per essere un piccolo gioiello di pace e tranquillità.
Pere Baptiste era apparentemente un posto semplice, ma mi ha dato un pasto finale incantevole. Sono stato in grado di adattare il loro menu e cambiare gli elementi all'interno il mio pasto. La birra era davvero molto bella : -) La signora della casa era affascinante e mi sono trovato completamente rilassarsi dopo tre settimane di guida dal Regno Unito a posti per quanto riguarda Vilnius.
Ho apprezzato molto il pasto e l'atmosfera del luogo e mi sono trovato gironzolato per un'altra birra post-pasto.","Punteggio 4,0 su 5",,,661
